Item,Familia,Year,Production_t
"Abaca, manila hemp, raw",Fibras,1961,97340.0
"Abaca, manila hemp, raw",Fibras,1962,112345.0
"Abaca, manila hemp, raw",Fibras,1963,140265.0
"Abaca, manila hemp, raw",Fibras,1964,123970.0
"Abaca, manila hemp, raw",Fibras,1965,112814.0
"Abaca, manila hemp, raw",Fibras,1966,142581.0
"Abaca, manila hemp, raw",Fibras,1967,125049.0
"Abaca, manila hemp, raw",Fibras,1968,111569.0
"Abaca, manila hemp, raw",Fibras,1969,113801.0
"Abaca, manila hemp, raw",Fibras,1970,128423.0
"Abaca, manila hemp, raw",Fibras,1971,111561.0
"Abaca, manila hemp, raw",Fibras,1972,117229.0
"Abaca, manila hemp, raw",Fibras,1973,128233.0
"Abaca, manila hemp, raw",Fibras,1974,137328.0
"Abaca, manila hemp, raw",Fibras,1975,145656.0
"Abaca, manila hemp, raw",Fibras,1976,154869.0
"Abaca, manila hemp, raw",Fibras,1977,168809.0
"Abaca, manila hemp, raw",Fibras,1978,142122.0
"Abaca, manila hemp, raw",Fibras,1979,160746.0
"Abaca, manila hemp, raw",Fibras,1980,169966.0
"Abaca, manila hemp, raw",Fibras,1981,139339.0
"Abaca, manila hemp, raw",Fibras,1982,128697.0
"Abaca, manila hemp, raw",Fibras,1983,98822.0
"Abaca, manila hemp, raw",Fibras,1984,109262.0
"Abaca, manila hemp, raw",Fibras,1985,94006.0
"Abaca, manila hemp, raw",Fibras,1986,92314.0
"Abaca, manila hemp, raw",Fibras,1987,99901.0
"Abaca, manila hemp, raw",Fibras,1988,108129.0
"Abaca, manila hemp, raw",Fibras,1989,81955.0
"Abaca, manila hemp, raw",Fibras,1990,78590.0
"Abaca, manila hemp, raw",Fibras,1991,82566.86
"Abaca, manila hemp, raw",Fibras,1992,85395.98
"Abaca, manila hemp, raw",Fibras,1993,81828.0
"Abaca, manila hemp, raw",Fibras,1994,84270.63
"Abaca, manila hemp, raw",Fibras,1995,85100.01
"Abaca, manila hemp, raw",Fibras,1996,94509.46
"Abaca, manila hemp, raw",Fibras,1997,92722.1
"Abaca, manila hemp, raw",Fibras,1998,97470.88
"Abaca, manila hemp, raw",Fibras,1999,99854.98
"Abaca, manila hemp, raw",Fibras,2000,95655.33
"Abaca, manila hemp, raw",Fibras,2001,100048.39
"Abaca, manila hemp, raw",Fibras,2002,91196.98
"Abaca, manila hemp, raw",Fibras,2003,99922.37
"Abaca, manila hemp, raw",Fibras,2004,107279.49
"Abaca, manila hemp, raw",Fibras,2005,105310.82
"Abaca, manila hemp, raw",Fibras,2006,99927.71
"Abaca, manila hemp, raw",Fibras,2007,100502.54
"Abaca, manila hemp, raw",Fibras,2008,102395.86
"Abaca, manila hemp, raw",Fibras,2009,100117.42
"Abaca, manila hemp, raw",Fibras,2010,101642.79
"Abaca, manila hemp, raw",Fibras,2011,104666.09
"Abaca, manila hemp, raw",Fibras,2012,104783.93
"Abaca, manila hemp, raw",Fibras,2013,102062.1
"Abaca, manila hemp, raw",Fibras,2014,106432.67
"Abaca, manila hemp, raw",Fibras,2015,109874.78
"Abaca, manila hemp, raw",Fibras,2016,110251.87
"Abaca, manila hemp, raw",Fibras,2017,108631.06
"Abaca, manila hemp, raw",Fibras,2018,110801.8
