Item,Familia,Year,Production_t,Production_t,AreaHarvested_ha,Yield_hg_ha,Production_lag1,Production_lag2,Production_lag3,Production_ma3,Production_ma5,Production_yoy_growth_pct,Production_trend_slope5,Production_vol_std5,Production_vol_cv5
Areca nuts,Oleaginosas y frutos secos,2024,2331981.73,2331981.73,1321441.0,1764.7,2276039.09,2565720.85,2474711.3,2438823.7466666666,2254430.292,2.4578945170928623,143661.9429999998,326438.51631199586,0.1447986737360588
Dates,Frutas,2024,9946598.04,9946598.04,1379351.0,7211.1,9968278.21,9201136.7,9784676.73,9651363.88,9506493.602,-0.2174916223571354,139485.44999999958,356871.86801671947,0.0375397999470214
Cashewapple,Frutas,2024,1386191.33,1386191.33,516231.0,2685.2,1360750.69,1311238.18,1320111.63,1330700.1666666665,1318591.086,1.8696033143293933,13918.16099999989,25558.647494117024,0.0193833006801602
Sesame seed,Oleaginosas y frutos secos,2024,6681657.0,6681657.0,11719864.0,570.1,6361013.79,5496885.63,6225473.35,6027790.923333333,6335767.932,5.040756404334101,-239965.3290000012,557882.1228157957,0.0880528025652748
Plantains and cooking bananas,Frutas,2024,44586698.84,44586698.84,7227942.0,6168.7,43583979.28,42999895.26,42439644.79,43007839.77666666,42315772.048,2.300660877149729,792384.0639999924,1524537.54523708,0.036027643392817
Currants,Frutas,2024,706319.98,706319.98,142538.0,4955.3,759127.67,762119.64,733107.6,751451.6366666667,718377.652,-6.956364796978098,29459.60699999993,48876.44434886452,0.0680372561880092
"Pistachios, in shell",Oleaginosas y frutos secos,2024,1380320.8,1380320.8,1089880.0,1266.5,1295119.92,1024011.54,1213116.55,1177416.0033333332,1108229.096,6.578609338353791,71984.11499999996,160354.6177987991,0.1446944664939559
Linseed,Oleaginosas y frutos secos,2024,3008783.58,3008783.58,3175392.0,947.5,2742793.47,3919181.92,3336783.5,3332919.6300000004,3289193.208,9.697781218649324,-10905.896000000454,434624.7092795005,0.1321371782668172
Lemons and limes,Frutas,2024,23201004.91,23201004.91,1453721.0,15959.7,23934483.68,21973682.34,21368835.06,22425667.026666667,21363184.208,-3.064527231113434,1085000.0129999986,1750971.5902121442,0.0819621070138246
"Mangoes, guavas and mangosteens",Frutas,2024,62211834.5,62211834.5,6336544.0,9817.9,60560867.97,59729945.83,57282563.69,59191125.830000006,58019562.59199999,2.726127589217908,1197979.6319999958,2007352.8707389997,0.0345978628769563
"Cassava, fresh",Raices y tuberculos,2024,341905934.31,341905934.31,33565467.0,10186.2,339520621.35,333094245.91,324670166.65,332428344.6366667,322367224.91,0.7025531911774685,9290486.228,14862769.318944952,0.0461050881431709
Cucumbers and gherkins,Hortalizas,2024,87844031.91,87844031.91,2286120.0,38424.9,87408921.85,87983315.53,87845539.91,87745925.76333332,88003589.96800001,0.4977867828488858,-367278.7690000079,1009577.2794808046,0.011472001083682
Buckwheat,Cereales,2024,1970230.16,1970230.16,1965809.0,1002.2,2149866.8,2245725.1,1866599.86,2087397.2533333327,1958214.884,-8.355710223535706,129269.70699999992,227031.3218426529,0.1159379002262005
Green corn (maize),Cereales,2024,9456499.31,9456499.31,1074457.0,8801.2,9892144.98,9584347.7,9737555.6,9738016.093333334,9886015.492,-4.403955571625684,-80901.32800000148,252245.0630153129,0.0255153416681812
Kiwi fruit,Frutas,2024,4417537.5,4417537.5,271550.0,16267.9,4277468.2,4421157.08,4351048.75,4349891.343333333,4355658.94,3.2745842505620404,-11038.206000000584,51619.016226290085,0.0118510234472789
Unmanufactured tobacco,Estimulantes y especias,2024,6048229.88,6048229.88,3293702.0,1836.3,5993406.8,5695629.42,5842988.15,5844008.123333332,5966698.436,0.914723158788422,-111834.37000000029,316329.3782305034,0.0530158146290642
Maize (corn),Cereales,2024,1218205573.82,1218205573.82,209954361.0,5802.2,1238582560.84,1160145773.39,1203326824.78,1200685053.003333,1178970549.182,-1.6451860105458294,20566246.518999796,41039535.61525739,0.0348096359520869
Leeks and other alliaceous vegetables,Hortalizas,2024,2134827.59,2134827.59,127594.0,16731.4,2153277.02,2112984.88,2242983.1,2169748.333333333,2160394.488,-0.8568070818867568,-2398.340000000039,48867.68710701741,0.0226197980870877
Strawberries,Frutas,2024,10728811.41,10728811.41,436067.0,24603.6,10751586.3,10274276.7,9809171.69,10278344.896666666,9808921.448,-0.2118281839025071,443885.89099999954,724216.7523569016,0.0738324550967391
"Tangerines, mandarins, clementines",Frutas,2024,51917893.39,51917893.39,3908230.0,13284.2,52833869.75,52167707.62,50608450.41,51870009.25999999,49936213.07,-1.7336915965728616,1676528.4469999964,2768509.9275924987,0.055440926682038
Tea leaves,Estimulantes y especias,2024,32728930.55,32728930.55,5536957.0,5911.0,31398474.02,30533778.06,30573470.41,30835240.83,29899918.754,4.237328633081128,851613.6719999962,1409998.306515433,0.047157262135597
"Other stimulant, spice and aromatic crops, n.e.c.",Estimulantes y especias,2024,3312623.04,3312623.04,1474358.0,2246.8,3238249.01,3172151.13,3139352.95,3183251.03,3123752.634,2.29673597584148,68166.98199999951,131253.10888024585,0.0420177665323565
Gooseberries,Frutas,2024,95648.79,95648.79,20153.0,4746.1,97817.8,95405.18,90831.48,94684.82,89725.436,-2.217398060475706,4583.877999999988,7333.837877679087,0.0817364418009524
Sour cherries,Frutas,2024,1484452.81,1484452.81,218140.0,6805.1,1519462.26,1596157.43,1521139.7,1545586.4633333331,1505770.332,-2.3040684143086243,33368.95699999986,67874.91062816985,0.045076536033232
"Pepper (Piper spp.), raw",Estimulantes y especias,2024,933415.66,933415.66,857754.0,1088.2,905455.38,915492.94,961000.56,927316.2933333332,915337.52,3.087979884773562,2923.134999999916,26831.871334454703,0.0293136364982118
Lettuce and chicory,Hortalizas,2024,28227362.53,28227362.53,1288383.0,21909.1,28338660.64,28297480.64,28241904.25,28292681.843333334,27968455.862,-0.3927430142654731,267613.491999999,457371.5741146146,0.0163531221162636
Spinach,Hortalizas,2024,30717390.61,30717390.61,935777.0,32825.5,34106186.88,33191359.8,32426437.83,33241328.17,32216618.778,-9.936016248087842,994350.6469999972,1577888.0194384984,0.048977455713509
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Raices y tuberculos,2024,9789996.42,9789996.42,688425.0,14220.9,9529700.65,8917584.32,8582111.98,9009798.983333332,8791748.05,2.731416017773869,277004.7759999994,471250.9168741709,0.0536015038413402
